,Lp.,Przystanek
540,CMENTARZ 01  ,NIE
541,CMENTARZ 02,NIE
542,CMENTARZ 02  ,NIE
543,CMENTARZ 02  ,NIE
544,CMENTARZ 02  ,NIE
545,CMENTARZ 02  ,NIE
546,CMENTARZ 03  ,NIE
547,CMENTARZ 1920R. 01  ,NIE
548,CMENTARZ 1920R. 02  ,NIE
549,CM.OFIAR WOJNY 01  ,NIE
550,CM.OFIAR WOJNY 02  ,NIE
551,CM.POŁUDNIOWY-BRAMA PŁD. 01  ,NIE
552,CM.POŁUDNIOWY-BRAMA WSCH. 01  ,NIE
553,CM.POŁUDNIOWY-BRAMA WSCH. 02  ,NIE
554,CM.PRAWOSŁAWNY 02  ,NIE
555,CM.PÓŁNOCNY-BRAMA GŁ. 01  ,NIE
556,CM.PÓŁNOCNY-BRAMA GŁ. 02  ,NIE
557,CM.PÓŁNOCNY-BRAMA GŁ. 03  ,NIE
558,CM.PÓŁNOCNY-BRAMA GŁ. 04  ,NIE
559,CM.PÓŁNOCNY-BRAMA GŁ. 06  ,NIE
560,CM.PÓŁNOCNY-BRAMA PŁD. 01  ,NIE
561,CM.PÓŁNOCNY-BRAMA PŁD. 02  ,NIE
562,CM.PÓŁNOCNY-BRAMA PŁN. 01  ,NIE
563,CM.PÓŁNOCNY-BRAMA PŁN. 02  ,NIE
564,CM.PÓŁNOCNY-BRAMA ZACH. 01  ,NIE
565,CM.PÓŁNOCNY-BRAMA ZACH. 02  ,NIE
566,CM.WAWRZYSZEWSKI 01  ,NIE
567,CM.WAWRZYSZEWSKI 02  ,NIE
568,CM.WAWRZYSZEWSKI 03  ,NIE
569,CM.WAWRZYSZEWSKI 04  ,NIE
570,CM.WOLSKI 01  ,NIE
571,CM.WOLSKI 03  ,NIE
572,CM.WOLSKI 04  ,NIE
573,CM.WOLSKI 06  ,NIE
574,CM.WOLSKI 07  ,NIE
575,CM.WOLSKI 08  ,NIE
576,CM.WŁOSKI 01  ,NIE
577,CM.WŁOSKI 02  ,NIE
578,CM.ŻYDOWSKI 01  ,NIE
579,CM.ŻYDOWSKI 02  ,NIE
580,CM.ŻYDOWSKI 03  ,NIE
581,CM.ŻYDOWSKI 04  ,NIE
582,CODZIENNA 01  ,NIE
583,CODZIENNA 02  ,NIE
584,CONRADA 01  ,NIE
585,CONRADA 02  ,NIE
586,CONRADA 03  ,NIE
587,CONRADA 04  ,NIE
588,CONRADA 05  ,NIE
589,CONRADA 06  ,NIE
590,CUKROWNICZA 01  ,NIE
591,CUKROWNICZA 02  ,NIE
592,CURTIS PLAZA 01  ,NIE
593,CURTIS PLAZA 02  ,NIE
594,CURTIS PLAZA 03  ,NIE
595,CURTIS PLAZA 04  ,NIE
596,CURTIS PLAZA 05  ,NIE
597,CURTIS PLAZA 06  ,NIE
598,CYBERNETYKI 01  ,NIE
599,CYBERNETYKI 02  ,NIE
600,CYGAŃSKA 01  ,NIE
601,CYGAŃSKA 02  ,NIE
602,CYKLAMENÓW 01  ,NIE
603,CYKLAMENÓW 02  ,NIE
604,CYLICHOWSKA 01  ,NIE
605,CYLICHOWSKA 02  ,NIE
606,CYNAMONOWA 02  ,NIE
607,CYNAMONOWA 04  ,NIE
608,CYNKOWA 01  ,NIE
609,CYPRYSOWA 01  ,NIE
610,CYPRYSOWA 02  ,NIE
611,CYPRYSOWA 03  ,NIE
612,CYPRYSOWA 04  ,NIE
613,CYTADELA 01  ,NIE
614,CYTADELA 02  ,NIE
615,CZAJKOWSKIEGO 01  ,NIE
616,CZAPELSKA 01  ,NIE
617,CZAPELSKA 02  ,NIE
618,CZARNA STRUGA 01  ,NIE
619,CZARNIECKIEGO 01  ,NIE
620,CZARNIECKIEGO 01  ,NIE
621,CZARNIECKIEGO 02  ,NIE
622,CZARNIECKIEGO 02  ,NIE
623,CZARNOMORSKA 01  ,NIE
624,CZARNOMORSKA 02  ,NIE
625,CZARNÓWKA 01  ,NIE
626,CZARNÓWKA 02  ,NIE
627,CZATÓW 01  ,NIE
628,CZATÓW 02  ,NIE
629,CZEKANOWSKA 01  ,NIE
630,CZEKANOWSKA 02  ,NIE
631,CZEKOLADOWA 01  ,NIE
632,CZEKOLADOWA 02  ,NIE
633,CZEREMCHOWA 01  ,TAK
634,CZEREMCHOWA 02  ,TAK
635,CZERNIAKOWSKA 01  ,NIE
636,CZERWIŃSKA 01  ,NIE
637,CZERWIŃSKA 02  ,NIE
638,CZERWONA DROGA 01  ,NIE
639,CZERWONA DROGA 02  ,NIE
640,CZERWONYCH BERETÓW 01  ,NIE
641,CZERWONYCH BERETÓW 02  ,NIE
642,CZOŁGISTÓW 01  ,NIE
643,CZOŁGISTÓW 02  ,NIE
644,CZORSZTYŃSKA 01  ,NIE
645,CZORSZTYŃSKA 02  ,NIE
646,CZŁUCHOWSKA 01  ,NIE
647,CZŁUCHOWSKA 02  ,NIE
